_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
64a4537d73193c702ed44c8c,,52,93.01,57.2,79.96,130;6;1;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688490877000
64a451bc73193c702ed43e9e,,54.38,92.95,62.38,82.52,136;7;1;0,time,30,-1,1,30.01,0,2.73,false,false,english,none,normal,false,false,false,,1688490428000
64a4482f73193c702ec01182,,43.19,90.37,53.98,75.83,108;8;0;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688487983000
64a4390b73193c702ea50e91,,49.58,90.2,61.18,82.94,124;9;1;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688484107000
64a437e873193c702ea504e9,,52.8,98.55,55.2,80.08,132;1;0;0,time,30,-1,1,30,0,4.78,false,false,english,none,normal,false,false,false,,1688483816000
64a4321b73193c702e97914a,,42.39,92.74,49.58,67.11,106;6;0;3,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688482331000
64a431fa73193c702e979018,,39.19,82.95,51.58,76.63,98;14;2;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688482298000
64a42e8073193c702e90d074,,49.18,90.6,59.58,82.38,123;9;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688481408000
64a42e1173193c702e90ccba,,55.18,92.99,62.78,82.43,138;7;1;1,time,30,-1,2,30.01,0,14.8,false,false,english,none,normal,false,false,false,,1688481297000
64a4267673193c702e834860,,47.98,91.1,58.38,83.45,120;7;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688479350000
64a41e4073193c702e6f1ece,,50.38,93.63,62.78,77.03,126;6;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688477248000
64a407ea73193c702e46a220,,52,95.21,58.4,80.34,130;3;1;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688471530000
64a407ca73193c702e46a125,,43.59,91.24,54.78,75.56,109;5;2;1,time,30,-1,1,30.01,0,1.6,false,false,english,none,normal,false,false,false,,1688471498000
64a407a773193c702e46a034,,42,87.02,52.4,76.73,105;7;6;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688471463000
64a4067173193c702e4697ed,,43.2,90.3,53.6,78.58,108;7;1;0,time,30,-1,2,30,0,19.98,false,false,english,none,normal,false,false,false,,1688471153000
64a4063a73193c702e3ff554,,39.6,85.82,53.6,78.58,99;12;2;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688471098000
64a4056f73193c702e3fefa2,,53.58,95.1,57.18,75.97,134;4;1;3,time,30,-1,2,30.01,0,15.74,false,false,english,none,normal,false,false,false,,1688470895000
64a3e5de73193c702e036443,,52.38,96.43,55.98,82.21,131;3;0;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688462814000
64a3e3dc73193c702e03563e,,41.2,91.73,53.2,72.26,103;6;0;2,time,30,-1,1,30,1,2.48,false,false,english,none,normal,false,false,false,,1688462300000
64a3e34473193c702e035241,,53.18,96.55,57.98,83.04,133;2;1;1,time,30,-1,2,30.01,0,2.02,false,false,english,none,normal,false,false,false,,1688462148000
